2026-04-12 01:04:01,627 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:02,030 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:02,446 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:02,861 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:03,228 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:03,644 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:04,049 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:04,512 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:04,876 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:05,293 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:05,696 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:06,108 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:06,525 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:06,941 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:07,343 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
2026-04-12 01:04:07,746 | DEBUG    | watchfiles.main | 1 change detected: {(<Change.modified: 2>, 'C:\\Users\\hp\\Desktop\\planway\\planway-backend\\backend.log')}
